artist,track_name,track_url,album_name,album_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,genre,preview
Taylor Mcferrin,Blind Aesthetics,https://api.spotify.com/v1/tracks/1sasjXBhmCMxcRnoaRq0SX,Early Riser,https://api.spotify.com/v1/albums/7BaDX55pGPTNlIKbjhOVfd,0.302,0.497,9,-15.209,1,0.0548,0.625,0.808,0.491,0.126,106.628,audio_features,1sasjXBhmCMxcRnoaRq0SX,69973,3,deep indie r&b,https://p.scdn.co/mp3-preview/24e9505c60f5f2c5400cda3169a9919f71f39c4c?cid=fc235f8b650243338f2957a048e88a50
Nohidea,Jasmine,https://api.spotify.com/v1/tracks/38BbgYHKitbNXZ8j1qP5Bw,Blank Space,https://api.spotify.com/v1/albums/3ngcv979l6wwsEpVs4Ux3l,0.713,0.212,8,-14.442,1,0.0431,0.956,0.921,0.0949,0.192,80.313,audio_features,38BbgYHKitbNXZ8j1qP5Bw,110689,4,chillhop,https://p.scdn.co/mp3-preview/a3176274c47953e657bf17ccee4a3c2e41f475dc?cid=fc235f8b650243338f2957a048e88a50
Ta-ku,Fairy Tale - Nujabes Tribute,https://api.spotify.com/v1/tracks/0h0PeivXGEZxMOcOVaUv8V,Beat Sketches Vol. 1,https://api.spotify.com/v1/albums/14Vf8daD2PBC3ydmthPuM9,0.769,0.669,0,-11.313,1,0.0429,0.454,0.000297,0.18,0.605,91.071,audio_features,0h0PeivXGEZxMOcOVaUv8V,211305,4,chillhop,https://p.scdn.co/mp3-preview/14e95fab883369f44987252bb58240b83849b892?cid=fc235f8b650243338f2957a048e88a50
FloFilz,Taxi Bossa,https://api.spotify.com/v1/tracks/4RWPTdDXbAmD3XKSWG9UPR,Cenário,https://api.spotify.com/v1/albums/40WsixP1SnCkf5XyMeT33y,0.71,0.486,6,-10.085,1,0.17,0.201,0.672,0.104,0.624,86.104,audio_features,4RWPTdDXbAmD3XKSWG9UPR,145392,4,chillhop,https://p.scdn.co/mp3-preview/533dd877966e85fbd2e2e515b9090b6802f6edbf?cid=fc235f8b650243338f2957a048e88a50
The Deli,Briefing,https://api.spotify.com/v1/tracks/2pPyIvTEBPQVdI6NRgWHpM,Vibes 3,https://api.spotify.com/v1/albums/1DewSgsGUFhSPACbWtmZGa,0.816,0.413,4,-9.878,1,0.122,0.0207,0.65,0.11,0.568,88.003,audio_features,2pPyIvTEBPQVdI6NRgWHpM,174567,4,chillhop,https://p.scdn.co/mp3-preview/2fc72a6107ee7209e5c3a257e33543074f190a6c?cid=fc235f8b650243338f2957a048e88a50
Elaquent,Cinnamon Sticks,https://api.spotify.com/v1/tracks/6Js5EvyQ9MA7smAOWR0QSE,The Midnight After,https://api.spotify.com/v1/albums/0mIiQAHUHmjzB9oZwg9kVN,0.544,0.536,11,-8.854,0,0.35,0.642,0.79,0.0764,0.722,86.389,audio_features,6Js5EvyQ9MA7smAOWR0QSE,116245,4,chillhop,https://p.scdn.co/mp3-preview/e339c6ac352de2097a0919f94fe06e1c5ba40cf6?cid=fc235f8b650243338f2957a048e88a50
Mono:Massive,Do Some Real,https://api.spotify.com/v1/tracks/472amW2rwsFhBCnQJK9jSn,Monothrope,https://api.spotify.com/v1/albums/7otsq7Jet1djp7962pkrHg,0.722,0.585,5,-9.824,0,0.039,0.351,0.867,0.111,0.369,88.002,audio_features,472amW2rwsFhBCnQJK9jSn,176000,4,chillhop,https://p.scdn.co/mp3-preview/912fe16de76f0bf0a49b5a61ef889625b06e042d?cid=fc235f8b650243338f2957a048e88a50
Philanthrope,Intro,https://api.spotify.com/v1/tracks/12Lad3hAdWOzOpy979eXBH,Monothrope,https://api.spotify.com/v1/albums/7otsq7Jet1djp7962pkrHg,0.629,0.3,10,-9.722,0,0.0555,0.214,0.932,0.209,0.864,172.084,audio_features,12Lad3hAdWOzOpy979eXBH,84375,4,chillhop,https://p.scdn.co/mp3-preview/7b6dcf8280a8d6fd7204c6ec23039e2d01cd76d4?cid=fc235f8b650243338f2957a048e88a50
weird inside,35 Miles,https://api.spotify.com/v1/tracks/0K8DJHIW9xNmH2Rucamf2h,Pulp,https://api.spotify.com/v1/albums/0Mn71HcnfzcDhasqwUWmc2,0.389,0.467,10,-11.147,1,0.0361,0.975,0.886,0.104,0.248,72.321,audio_features,0K8DJHIW9xNmH2Rucamf2h,106292,3,chillhop,https://p.scdn.co/mp3-preview/85f86fba0d66c1f4653e7fa73cf95796f69d22f1?cid=fc235f8b650243338f2957a048e88a50
Jonwayne,These Words Are Everything,https://api.spotify.com/v1/tracks/3qGjwSndrhD7hWMTPjfsqT,Rap Album Two,https://api.spotify.com/v1/albums/0qbfYiC2wnBPyCqtAeyKj8,0.599,0.578,7,-6.468,0,0.455,0.765,0,0.111,0.504,80.296,audio_features,3qGjwSndrhD7hWMTPjfsqT,311795,4,alternative hip hop,https://p.scdn.co/mp3-preview/3c8366a0a435be337ebdc03bfb57d90ac7ed5063?cid=fc235f8b650243338f2957a048e88a50
